temperature,hour,day,month,day_of_week,is_weekend,load_lag_1,load_lag_2,load_lag_3,load_lag_24,load_lag_48,load_lag_168,temp_lag_1,temp_lag_24,rolling_mean_3,rolling_mean_6,rolling_mean_24,rolling_std_24,hour_sin,hour_cos,dow_sin,dow_cos
25,1,8,1,3,0,28365.0,31038.0,33469.0,27413.0,25501.0,30360.0,25.0,24.0,28766.0,34748.833333333336,44551.5,15029.12516763194,0.2588190451025207,0.9659258262890684,0.4338837391175582,-0.900968867902419
24,2,8,1,3,0,26895.0,28365.0,31038.0,26278.0,24399.0,29155.0,25.0,24.0,27055.33333333333,30930.666666666668,44536.0,15048.969310366334,0.4999999999999999,0.8660254037844387,0.4338837391175582,-0.900968867902419
24,3,8,1,3,0,25906.0,26895.0,28365.0,25308.0,23654.0,28086.0,24.0,23.0,25955.666666666668,28456.5,44525.91666666666,15062.48789114914,0.7071067811865476,0.7071067811865476,0.4338837391175582,-0.900968867902419
24,4,8,1,3,0,25066.0,25906.0,26895.0,25491.0,23693.0,28031.0,24.0,24.0,25293.33333333333,27029.666666666668,44501.625,15094.955814018598,0.8660254037844386,0.5000000000000001,0.4338837391175582,-0.900968867902419
24,5,8,1,3,0,24908.0,25066.0,25906.0,26134.0,24533.0,27730.0,24.0,24.0,25257.33333333333,26156.33333333333,44487.625,15112.876930423618,0.9659258262890684,0.2588190451025207,0.4338837391175582,-0.900968867902419
23,6,8,1,3,0,25798.0,24908.0,25066.0,29348.0,26592.0,30490.0,24.0,24.0,26419.666666666668,26187.666666666668,44454.5,15148.332989072627,1.0,6.123233995736766e-17,0.4338837391175582,-0.900968867902419
23,7,8,1,3,0,28553.0,25798.0,24908.0,36634.0,34911.0,37081.0,23.0,24.0,30151.33333333333,27722.33333333333,44432.375,15160.634677010808,0.9659258262890684,-0.2588190451025206,0.4338837391175582,-0.900968867902419
24,8,8,1,3,0,36103.0,28553.0,25798.0,46279.0,45499.0,46975.0,23.0,24.0,36962.0,31109.666666666668,44430.333333333336,15160.37847888991,0.8660254037844387,-0.4999999999999998,0.4338837391175582,-0.900968867902419
26,9,8,1,3,0,46230.0,36103.0,28553.0,57095.0,56231.0,57261.0,24.0,26.0,46345.333333333336,36382.5,44414.0,15146.345379259845,0.7071067811865476,-0.7071067811865475,0.4338837391175582,-0.900968867902419
27,10,8,1,3,0,56703.0,46230.0,36103.0,62266.0,62163.0,63679.0,26.0,28.0,54855.333333333336,42503.333333333336,44387.625,15114.424817005542,0.4999999999999999,-0.8660254037844387,0.4338837391175582,-0.900968867902419
27,11,8,1,3,0,61633.0,56703.0,46230.0,63545.0,62925.0,65123.0,27.0,29.0,60367.333333333336,48664.66666666666,44355.16666666666,15072.273175160626,0.258819045102521,-0.9659258262890682,0.4338837391175582,-0.900968867902419
30,12,8,1,3,0,62766.0,61633.0,56703.0,63280.0,62755.0,65142.0,27.0,29.0,62187.333333333336,54266.333333333336,44308.625,15012.902065173084,1.2246467991473532e-16,-1.0,0.4338837391175582,-0.900968867902419
31,13,8,1,3,0,62163.0,62766.0,61633.0,62925.0,62442.0,64745.0,30.0,30.0,62214.333333333336,58534.833333333336,44258.16666666666,14949.513310870158,-0.2588190451025208,-0.9659258262890684,0.4338837391175582,-0.900968867902419
30,14,8,1,3,0,61714.0,62163.0,62766.0,63753.0,63284.0,64783.0,31.0,31.0,62001.66666666666,61184.5,44190.458333333336,14860.79639734714,-0.4999999999999997,-0.8660254037844388,0.4338837391175582,-0.900968867902419
30,15,8,1,3,0,62128.0,61714.0,62163.0,63749.0,63551.0,64607.0,30.0,31.0,61936.0,62061.66666666666,44116.16666666666,14762.903077489951,-0.7071067811865471,-0.7071067811865479,0.4338837391175582,-0.900968867902419
29,16,8,1,3,0,61966.0,62128.0,61714.0,59773.0,60818.0,61089.0,30.0,30.0,60983.66666666666,61599.0,44078.0,14721.792252658464,-0.8660254037844385,-0.5000000000000004,0.4338837391175582,-0.900968867902419
28,17,8,1,3,0,58857.0,61966.0,62128.0,50793.0,51756.0,52406.0,29.0,29.0,57152.66666666666,59577.16666666666,44071.41666666666,14718.693863119508,-0.9659258262890684,-0.2588190451025206,0.4338837391175582,-0.900968867902419
