time,temperature,load
2009-01-01 01:00:00,24,30360
2009-01-01 02:00:00,24,29155
2009-01-01 03:00:00,24,28086
2009-01-01 04:00:00,24,28031
2009-01-01 05:00:00,24,27730
2009-01-01 06:00:00,24,30490
2009-01-01 07:00:00,24,37081
2009-01-01 08:00:00,24,46975
2009-01-01 09:00:00,25,57261
2009-01-01 10:00:00,28,63679
2009-01-01 11:00:00,30,65123
2009-01-01 12:00:00,30,65142
2009-01-01 13:00:00,30,64745
2009-01-01 14:00:00,28,64783
2009-01-01 15:00:00,29,64607
2009-01-01 16:00:00,29,61089
2009-01-01 17:00:00,29,52406
2009-01-01 18:00:00,28,50328
2009-01-01 19:00:00,27,52425
2009-01-01 20:00:00,25,50457
2009-01-01 21:00:00,25,41577
2009-01-01 22:00:00,25,36002
2009-01-01 23:00:00,25,33522
2009-01-02 00:00:00,24,30625
2009-01-02 01:00:00,24,29060
2009-01-02 02:00:00,24,27586
2009-01-02 03:00:00,24,26846
2009-01-02 04:00:00,23,26561
2009-01-02 05:00:00,23,26626
2009-01-02 06:00:00,23,29623
2009-01-02 07:00:00,23,36612
2009-01-02 08:00:00,23,48735
2009-01-02 09:00:00,24,57640
2009-01-02 10:00:00,25,62674
2009-01-02 11:00:00,27,64199
2009-01-02 12:00:00,28,63426
2009-01-02 13:00:00,29,62501
2009-01-02 14:00:00,29,63652
2009-01-02 15:00:00,28,63210
2009-01-02 16:00:00,28,62199
2009-01-02 17:00:00,28,54278
2009-01-02 18:00:00,27,50700
2009-01-02 19:00:00,27,52979
2009-01-02 20:00:00,26,50947
2009-01-02 21:00:00,25,41600
2009-01-02 22:00:00,24,35936
2009-01-02 23:00:00,24,32087
2009-01-03 00:00:00,24,29645
2009-01-03 01:00:00,24,28288
2009-01-03 02:00:00,24,26990
2009-01-03 03:00:00,24,26284
2009-01-03 04:00:00,23,26047
2009-01-03 05:00:00,23,25965
2009-01-03 06:00:00,23,27347
2009-01-03 07:00:00,23,29320
2009-01-03 08:00:00,24,33989
2009-01-03 09:00:00,24,44474
2009-01-03 10:00:00,25,51617
2009-01-03 11:00:00,26,52517
2009-01-03 12:00:00,26,50691
2009-01-03 13:00:00,26,47800
2009-01-03 14:00:00,27,47629
2009-01-03 15:00:00,27,46962
2009-01-03 16:00:00,26,46680
2009-01-03 17:00:00,26,45825
2009-01-03 18:00:00,25,46635
2009-01-03 19:00:00,25,50761
2009-01-03 20:00:00,24,49260
2009-01-03 21:00:00,24,40557
2009-01-03 22:00:00,24,34675
2009-01-03 23:00:00,23,31996
2009-01-04 00:00:00,23,29536
2009-01-04 01:00:00,23,28364
2009-01-04 02:00:00,24,26949
2009-01-04 03:00:00,24,25615
2009-01-04 04:00:00,24,25146
2009-01-04 05:00:00,24,24969
2009-01-04 06:00:00,24,24833
2009-01-04 07:00:00,24,23998
2009-01-04 08:00:00,24,25935
2009-01-04 09:00:00,25,35521
2009-01-04 10:00:00,26,41549
2009-01-04 11:00:00,28,42181
2009-01-04 12:00:00,30,42797
2009-01-04 13:00:00,29,42573
2009-01-04 14:00:00,28,42768
2009-01-04 15:00:00,28,42478
2009-01-04 16:00:00,28,41759
2009-01-04 17:00:00,27,41730
2009-01-04 18:00:00,26,43558
2009-01-04 19:00:00,25,46955
2009-01-04 20:00:00,25,45841
2009-01-04 21:00:00,24,37817
2009-01-04 22:00:00,24,31649
2009-01-04 23:00:00,24,28601
2009-01-05 00:00:00,24,28846
2009-01-05 01:00:00,23,27669
2009-01-05 02:00:00,23,26661
2009-01-05 03:00:00,23,25805
2009-01-05 04:00:00,23,26181
2009-01-05 05:00:00,23,27499
2009-01-05 06:00:00,22,30108
2009-01-05 07:00:00,22,36221
2009-01-05 08:00:00,23,47377
2009-01-05 09:00:00,25,58317
2009-01-05 10:00:00,27,63803
2009-01-05 11:00:00,28,64688
2009-01-05 12:00:00,30,64566
2009-01-05 13:00:00,31,63859
2009-01-05 14:00:00,30,65080
2009-01-05 15:00:00,30,63998
2009-01-05 16:00:00,30,61603
2009-01-05 17:00:00,30,52972
2009-01-05 18:00:00,29,50044
2009-01-05 19:00:00,27,51883
2009-01-05 20:00:00,26,50579
2009-01-05 21:00:00,26,41658
2009-01-05 22:00:00,25,35432
2009-01-05 23:00:00,25,30607
2009-01-06 00:00:00,25,26446
2009-01-06 01:00:00,25,25501
2009-01-06 02:00:00,24,24399
2009-01-06 03:00:00,24,23654
2009-01-06 04:00:00,24,23693
2009-01-06 05:00:00,24,24533
2009-01-06 06:00:00,24,26592
2009-01-06 07:00:00,24,34911
2009-01-06 08:00:00,24,45499
2009-01-06 09:00:00,26,56231
2009-01-06 10:00:00,27,62163
2009-01-06 11:00:00,28,62925
2009-01-06 12:00:00,29,62755
2009-01-06 13:00:00,31,62442
2009-01-06 14:00:00,31,63284
2009-01-06 15:00:00,31,63551
2009-01-06 16:00:00,31,60818
2009-01-06 17:00:00,30,51756
2009-01-06 18:00:00,29,48568
2009-01-06 19:00:00,28,50603
2009-01-06 20:00:00,26,48838
2009-01-06 21:00:00,26,39657
2009-01-06 22:00:00,25,34123
2009-01-06 23:00:00,24,30656
2009-01-07 00:00:00,24,28467
2009-01-07 01:00:00,24,27413
2009-01-07 02:00:00,24,26278
2009-01-07 03:00:00,23,25308
2009-01-07 04:00:00,24,25491
2009-01-07 05:00:00,24,26134
2009-01-07 06:00:00,24,29348
2009-01-07 07:00:00,24,36634
2009-01-07 08:00:00,24,46279
2009-01-07 09:00:00,26,57095
2009-01-07 10:00:00,28,62266
2009-01-07 11:00:00,29,63545
2009-01-07 12:00:00,29,63280
2009-01-07 13:00:00,30,62925
2009-01-07 14:00:00,31,63753
2009-01-07 15:00:00,31,63749
2009-01-07 16:00:00,30,59773
2009-01-07 17:00:00,29,50793
2009-01-07 18:00:00,28,47610
2009-01-07 19:00:00,27,50482
2009-01-07 20:00:00,26,48815
2009-01-07 21:00:00,26,39911
2009-01-07 22:00:00,25,33469
2009-01-07 23:00:00,25,31038
2009-01-08 00:00:00,25,28365
2009-01-08 01:00:00,25,26895
2009-01-08 02:00:00,24,25906
2009-01-08 03:00:00,24,25066
2009-01-08 04:00:00,24,24908
2009-01-08 05:00:00,24,25798
