time,temperature,load,hour,day,month,day_of_week,is_weekend
2009-01-01 01:00:00,24,30360,1,1,1,3,0
2009-01-01 02:00:00,24,29155,2,1,1,3,0
2009-01-01 03:00:00,24,28086,3,1,1,3,0
2009-01-01 04:00:00,24,28031,4,1,1,3,0
2009-01-01 05:00:00,24,27730,5,1,1,3,0
2009-01-01 06:00:00,24,30490,6,1,1,3,0
2009-01-01 07:00:00,24,37081,7,1,1,3,0
2009-01-01 08:00:00,24,46975,8,1,1,3,0
2009-01-01 09:00:00,25,57261,9,1,1,3,0
2009-01-01 10:00:00,28,63679,10,1,1,3,0
2009-01-01 11:00:00,30,65123,11,1,1,3,0
2009-01-01 12:00:00,30,65142,12,1,1,3,0
2009-01-01 13:00:00,30,64745,13,1,1,3,0
2009-01-01 14:00:00,28,64783,14,1,1,3,0
2009-01-01 15:00:00,29,64607,15,1,1,3,0
2009-01-01 16:00:00,29,61089,16,1,1,3,0
2009-01-01 17:00:00,29,52406,17,1,1,3,0
2009-01-01 18:00:00,28,50328,18,1,1,3,0
2009-01-01 19:00:00,27,52425,19,1,1,3,0
2009-01-01 20:00:00,25,50457,20,1,1,3,0
2009-01-01 21:00:00,25,41577,21,1,1,3,0
2009-01-01 22:00:00,25,36002,22,1,1,3,0
2009-01-01 23:00:00,25,33522,23,1,1,3,0
2009-01-02 00:00:00,24,30625,0,2,1,4,0
2009-01-02 01:00:00,24,29060,1,2,1,4,0
2009-01-02 02:00:00,24,27586,2,2,1,4,0
2009-01-02 03:00:00,24,26846,3,2,1,4,0
2009-01-02 04:00:00,23,26561,4,2,1,4,0
2009-01-02 05:00:00,23,26626,5,2,1,4,0
2009-01-02 06:00:00,23,29623,6,2,1,4,0
2009-01-02 07:00:00,23,36612,7,2,1,4,0
2009-01-02 08:00:00,23,48735,8,2,1,4,0
2009-01-02 09:00:00,24,57640,9,2,1,4,0
2009-01-02 10:00:00,25,62674,10,2,1,4,0
2009-01-02 11:00:00,27,64199,11,2,1,4,0
2009-01-02 12:00:00,28,63426,12,2,1,4,0
2009-01-02 13:00:00,29,62501,13,2,1,4,0
2009-01-02 14:00:00,29,63652,14,2,1,4,0
2009-01-02 15:00:00,28,63210,15,2,1,4,0
2009-01-02 16:00:00,28,62199,16,2,1,4,0
2009-01-02 17:00:00,28,54278,17,2,1,4,0
2009-01-02 18:00:00,27,50700,18,2,1,4,0
2009-01-02 19:00:00,27,52979,19,2,1,4,0
2009-01-02 20:00:00,26,50947,20,2,1,4,0
2009-01-02 21:00:00,25,41600,21,2,1,4,0
2009-01-02 22:00:00,24,35936,22,2,1,4,0
2009-01-02 23:00:00,24,32087,23,2,1,4,0
2009-01-03 00:00:00,24,29645,0,3,1,5,1
2009-01-03 01:00:00,24,28288,1,3,1,5,1
2009-01-03 02:00:00,24,26990,2,3,1,5,1
2009-01-03 03:00:00,24,26284,3,3,1,5,1
2009-01-03 04:00:00,23,26047,4,3,1,5,1
2009-01-03 05:00:00,23,25965,5,3,1,5,1
2009-01-03 06:00:00,23,27347,6,3,1,5,1
2009-01-03 07:00:00,23,29320,7,3,1,5,1
2009-01-03 08:00:00,24,33989,8,3,1,5,1
2009-01-03 09:00:00,24,44474,9,3,1,5,1
2009-01-03 10:00:00,25,51617,10,3,1,5,1
2009-01-03 11:00:00,26,52517,11,3,1,5,1
2009-01-03 12:00:00,26,50691,12,3,1,5,1
2009-01-03 13:00:00,26,47800,13,3,1,5,1
2009-01-03 14:00:00,27,47629,14,3,1,5,1
2009-01-03 15:00:00,27,46962,15,3,1,5,1
2009-01-03 16:00:00,26,46680,16,3,1,5,1
2009-01-03 17:00:00,26,45825,17,3,1,5,1
2009-01-03 18:00:00,25,46635,18,3,1,5,1
2009-01-03 19:00:00,25,50761,19,3,1,5,1
2009-01-03 20:00:00,24,49260,20,3,1,5,1
2009-01-03 21:00:00,24,40557,21,3,1,5,1
2009-01-03 22:00:00,24,34675,22,3,1,5,1
2009-01-03 23:00:00,23,31996,23,3,1,5,1
2009-01-04 00:00:00,23,29536,0,4,1,6,1
2009-01-04 01:00:00,23,28364,1,4,1,6,1
2009-01-04 02:00:00,24,26949,2,4,1,6,1
2009-01-04 03:00:00,24,25615,3,4,1,6,1
2009-01-04 04:00:00,24,25146,4,4,1,6,1
2009-01-04 05:00:00,24,24969,5,4,1,6,1
2009-01-04 06:00:00,24,24833,6,4,1,6,1
2009-01-04 07:00:00,24,23998,7,4,1,6,1
2009-01-04 08:00:00,24,25935,8,4,1,6,1
