time,temperature,load,hour,day,month,day_of_week,is_weekend,load_lag_1,load_lag_2,load_lag_3,load_lag_24,load_lag_48,load_lag_168,temp_lag_1,temp_lag_24
2009-01-01 01:00:00,24,30360,1,1,1,3,0,,,,,,,,
2009-01-01 02:00:00,24,29155,2,1,1,3,0,30360.0,,,,,,24.0,
2009-01-01 03:00:00,24,28086,3,1,1,3,0,29155.0,30360.0,,,,,24.0,
2009-01-01 04:00:00,24,28031,4,1,1,3,0,28086.0,29155.0,30360.0,,,,24.0,
2009-01-01 05:00:00,24,27730,5,1,1,3,0,28031.0,28086.0,29155.0,,,,24.0,
2009-01-01 06:00:00,24,30490,6,1,1,3,0,27730.0,28031.0,28086.0,,,,24.0,
2009-01-01 07:00:00,24,37081,7,1,1,3,0,30490.0,27730.0,28031.0,,,,24.0,
2009-01-01 08:00:00,24,46975,8,1,1,3,0,37081.0,30490.0,27730.0,,,,24.0,
2009-01-01 09:00:00,25,57261,9,1,1,3,0,46975.0,37081.0,30490.0,,,,24.0,
2009-01-01 10:00:00,28,63679,10,1,1,3,0,57261.0,46975.0,37081.0,,,,25.0,
2009-01-01 11:00:00,30,65123,11,1,1,3,0,63679.0,57261.0,46975.0,,,,28.0,
2009-01-01 12:00:00,30,65142,12,1,1,3,0,65123.0,63679.0,57261.0,,,,30.0,
2009-01-01 13:00:00,30,64745,13,1,1,3,0,65142.0,65123.0,63679.0,,,,30.0,
2009-01-01 14:00:00,28,64783,14,1,1,3,0,64745.0,65142.0,65123.0,,,,30.0,
2009-01-01 15:00:00,29,64607,15,1,1,3,0,64783.0,64745.0,65142.0,,,,28.0,
2009-01-01 16:00:00,29,61089,16,1,1,3,0,64607.0,64783.0,64745.0,,,,29.0,
2009-01-01 17:00:00,29,52406,17,1,1,3,0,61089.0,64607.0,64783.0,,,,29.0,
2009-01-01 18:00:00,28,50328,18,1,1,3,0,52406.0,61089.0,64607.0,,,,29.0,
2009-01-01 19:00:00,27,52425,19,1,1,3,0,50328.0,52406.0,61089.0,,,,28.0,
2009-01-01 20:00:00,25,50457,20,1,1,3,0,52425.0,50328.0,52406.0,,,,27.0,
2009-01-01 21:00:00,25,41577,21,1,1,3,0,50457.0,52425.0,50328.0,,,,25.0,
2009-01-01 22:00:00,25,36002,22,1,1,3,0,41577.0,50457.0,52425.0,,,,25.0,
2009-01-01 23:00:00,25,33522,23,1,1,3,0,36002.0,41577.0,50457.0,,,,25.0,
2009-01-02 00:00:00,24,30625,0,2,1,4,0,33522.0,36002.0,41577.0,,,,25.0,
2009-01-02 01:00:00,24,29060,1,2,1,4,0,30625.0,33522.0,36002.0,30360.0,,,24.0,24.0
2009-01-02 02:00:00,24,27586,2,2,1,4,0,29060.0,30625.0,33522.0,29155.0,,,24.0,24.0
2009-01-02 03:00:00,24,26846,3,2,1,4,0,27586.0,29060.0,30625.0,28086.0,,,24.0,24.0
2009-01-02 04:00:00,23,26561,4,2,1,4,0,26846.0,27586.0,29060.0,28031.0,,,24.0,24.0
2009-01-02 05:00:00,23,26626,5,2,1,4,0,26561.0,26846.0,27586.0,27730.0,,,23.0,24.0
2009-01-02 06:00:00,23,29623,6,2,1,4,0,26626.0,26561.0,26846.0,30490.0,,,23.0,24.0
2009-01-02 07:00:00,23,36612,7,2,1,4,0,29623.0,26626.0,26561.0,37081.0,,,23.0,24.0
2009-01-02 08:00:00,23,48735,8,2,1,4,0,36612.0,29623.0,26626.0,46975.0,,,23.0,24.0
2009-01-02 09:00:00,24,57640,9,2,1,4,0,48735.0,36612.0,29623.0,57261.0,,,23.0,25.0
2009-01-02 10:00:00,25,62674,10,2,1,4,0,57640.0,48735.0,36612.0,63679.0,,,24.0,28.0
2009-01-02 11:00:00,27,64199,11,2,1,4,0,62674.0,57640.0,48735.0,65123.0,,,25.0,30.0
2009-01-02 12:00:00,28,63426,12,2,1,4,0,64199.0,62674.0,57640.0,65142.0,,,27.0,30.0
2009-01-02 13:00:00,29,62501,13,2,1,4,0,63426.0,64199.0,62674.0,64745.0,,,28.0,30.0
2009-01-02 14:00:00,29,63652,14,2,1,4,0,62501.0,63426.0,64199.0,64783.0,,,29.0,28.0
2009-01-02 15:00:00,28,63210,15,2,1,4,0,63652.0,62501.0,63426.0,64607.0,,,29.0,29.0
2009-01-02 16:00:00,28,62199,16,2,1,4,0,63210.0,63652.0,62501.0,61089.0,,,28.0,29.0
2009-01-02 17:00:00,28,54278,17,2,1,4,0,62199.0,63210.0,63652.0,52406.0,,,28.0,29.0
2009-01-02 18:00:00,27,50700,18,2,1,4,0,54278.0,62199.0,63210.0,50328.0,,,28.0,28.0
2009-01-02 19:00:00,27,52979,19,2,1,4,0,50700.0,54278.0,62199.0,52425.0,,,27.0,27.0
2009-01-02 20:00:00,26,50947,20,2,1,4,0,52979.0,50700.0,54278.0,50457.0,,,27.0,25.0
2009-01-02 21:00:00,25,41600,21,2,1,4,0,50947.0,52979.0,50700.0,41577.0,,,26.0,25.0
2009-01-02 22:00:00,24,35936,22,2,1,4,0,41600.0,50947.0,52979.0,36002.0,,,25.0,25.0
2009-01-02 23:00:00,24,32087,23,2,1,4,0,35936.0,41600.0,50947.0,33522.0,,,24.0,25.0
2009-01-03 00:00:00,24,29645,0,3,1,5,1,32087.0,35936.0,41600.0,30625.0,,,24.0,24.0
2009-01-03 01:00:00,24,28288,1,3,1,5,1,29645.0,32087.0,35936.0,29060.0,30360.0,,24.0,24.0
2009-01-03 02:00:00,24,26990,2,3,1,5,1,28288.0,29645.0,32087.0,27586.0,29155.0,,24.0,24.0
2009-01-03 03:00:00,24,26284,3,3,1,5,1,26990.0,28288.0,29645.0,26846.0,28086.0,,24.0,24.0
2009-01-03 04:00:00,23,26047,4,3,1,5,1,26284.0,26990.0,28288.0,26561.0,28031.0,,24.0,23.0
2009-01-03 05:00:00,23,25965,5,3,1,5,1,26047.0,26284.0,26990.0,26626.0,27730.0,,23.0,23.0
2009-01-03 06:00:00,23,27347,6,3,1,5,1,25965.0,26047.0,26284.0,29623.0,30490.0,,23.0,23.0
2009-01-03 07:00:00,23,29320,7,3,1,5,1,27347.0,25965.0,26047.0,36612.0,37081.0,,23.0,23.0
2009-01-03 08:00:00,24,33989,8,3,1,5,1,29320.0,27347.0,25965.0,48735.0,46975.0,,23.0,23.0
2009-01-03 09:00:00,24,44474,9,3,1,5,1,33989.0,29320.0,27347.0,57640.0,57261.0,,24.0,24.0
2009-01-03 10:00:00,25,51617,10,3,1,5,1,44474.0,33989.0,29320.0,62674.0,63679.0,,24.0,25.0
2009-01-03 11:00:00,26,52517,11,3,1,5,1,51617.0,44474.0,33989.0,64199.0,65123.0,,25.0,27.0
