time,temperature,load,hour,day,month,day_of_week,is_weekend,load_lag_1,load_lag_2,load_lag_3,load_lag_24,load_lag_48,load_lag_168,temp_lag_1,temp_lag_24,rolling_mean_3,rolling_mean_6,rolling_mean_24,rolling_std_24
2009-01-01 01:00:00,24,30360,1,1,1,3,0,,,,,,,,,,,,
2009-01-01 02:00:00,24,29155,2,1,1,3,0,30360.0,,,,,,24.0,,,,,
2009-01-01 03:00:00,24,28086,3,1,1,3,0,29155.0,30360.0,,,,,24.0,,29200.333333333332,,,
2009-01-01 04:00:00,24,28031,4,1,1,3,0,28086.0,29155.0,30360.0,,,,24.0,,28424.0,,,
2009-01-01 05:00:00,24,27730,5,1,1,3,0,28031.0,28086.0,29155.0,,,,24.0,,27949.0,,,
2009-01-01 06:00:00,24,30490,6,1,1,3,0,27730.0,28031.0,28086.0,,,,24.0,,28750.333333333332,28975.333333333332,,
2009-01-01 07:00:00,24,37081,7,1,1,3,0,30490.0,27730.0,28031.0,,,,24.0,,31767.0,30095.5,,
2009-01-01 08:00:00,24,46975,8,1,1,3,0,37081.0,30490.0,27730.0,,,,24.0,,38182.0,33065.5,,
2009-01-01 09:00:00,25,57261,9,1,1,3,0,46975.0,37081.0,30490.0,,,,24.0,,47105.666666666664,37928.0,,
2009-01-01 10:00:00,28,63679,10,1,1,3,0,57261.0,46975.0,37081.0,,,,25.0,,55971.666666666664,43869.333333333336,,
2009-01-01 11:00:00,30,65123,11,1,1,3,0,63679.0,57261.0,46975.0,,,,28.0,,62021.0,50101.5,,
2009-01-01 12:00:00,30,65142,12,1,1,3,0,65123.0,63679.0,57261.0,,,,30.0,,64648.0,55876.833333333336,,
2009-01-01 13:00:00,30,64745,13,1,1,3,0,65142.0,65123.0,63679.0,,,,30.0,,65003.333333333336,60487.5,,
2009-01-01 14:00:00,28,64783,14,1,1,3,0,64745.0,65142.0,65123.0,,,,30.0,,64890.0,63455.5,,
2009-01-01 15:00:00,29,64607,15,1,1,3,0,64783.0,64745.0,65142.0,,,,28.0,,64711.666666666664,64679.833333333336,,
2009-01-01 16:00:00,29,61089,16,1,1,3,0,64607.0,64783.0,64745.0,,,,29.0,,63493.0,64248.166666666664,,
2009-01-01 17:00:00,29,52406,17,1,1,3,0,61089.0,64607.0,64783.0,,,,29.0,,59367.333333333336,62128.666666666664,,
2009-01-01 18:00:00,28,50328,18,1,1,3,0,52406.0,61089.0,64607.0,,,,29.0,,54607.666666666664,59659.666666666664,,
2009-01-01 19:00:00,27,52425,19,1,1,3,0,50328.0,52406.0,61089.0,,,,28.0,,51719.666666666664,57606.333333333336,,
2009-01-01 20:00:00,25,50457,20,1,1,3,0,52425.0,50328.0,52406.0,,,,27.0,,51070.0,55218.666666666664,,
2009-01-01 21:00:00,25,41577,21,1,1,3,0,50457.0,52425.0,50328.0,,,,25.0,,48153.0,51380.333333333336,,
2009-01-01 22:00:00,25,36002,22,1,1,3,0,41577.0,50457.0,52425.0,,,,25.0,,42678.666666666664,47199.166666666664,,
2009-01-01 23:00:00,25,33522,23,1,1,3,0,36002.0,41577.0,50457.0,,,,25.0,,37033.666666666664,44051.833333333336,,
2009-01-02 00:00:00,24,30625,0,2,1,4,0,33522.0,36002.0,41577.0,,,,25.0,,33383.0,40768.0,46319.958333333336,14605.8655325424
2009-01-02 01:00:00,24,29060,1,2,1,4,0,30625.0,33522.0,36002.0,30360.0,,,24.0,24.0,31069.0,36873.833333333336,46265.791666666664,14669.89753966521
2009-01-02 02:00:00,24,27586,2,2,1,4,0,29060.0,30625.0,33522.0,29155.0,,,24.0,24.0,29090.333333333332,33062.0,46200.416666666664,14752.727691534867
2009-01-02 03:00:00,24,26846,3,2,1,4,0,27586.0,29060.0,30625.0,28086.0,,,24.0,24.0,27830.666666666668,30606.833333333332,46148.75,14820.939500379623
2009-01-02 04:00:00,23,26561,4,2,1,4,0,26846.0,27586.0,29060.0,28031.0,,,24.0,24.0,26997.666666666668,29033.333333333332,46087.5,14901.885996774688
2009-01-02 05:00:00,23,26626,5,2,1,4,0,26561.0,26846.0,27586.0,27730.0,,,23.0,24.0,26677.666666666668,27884.0,46041.5,14962.597042655047
2009-01-02 06:00:00,23,29623,6,2,1,4,0,26626.0,26561.0,26846.0,30490.0,,,23.0,24.0,27603.333333333332,27717.0,46005.375,15002.769027930635
2009-01-02 07:00:00,23,36612,7,2,1,4,0,29623.0,26626.0,26561.0,37081.0,,,23.0,24.0,30953.666666666668,28975.666666666668,45985.833333333336,15015.199060970843
2009-01-02 08:00:00,23,48735,8,2,1,4,0,36612.0,29623.0,26626.0,46975.0,,,23.0,24.0,38323.333333333336,32500.5,46059.166666666664,15024.535101442998
2009-01-02 09:00:00,24,57640,9,2,1,4,0,48735.0,36612.0,29623.0,57261.0,,,23.0,25.0,47662.333333333336,37632.833333333336,46074.958333333336,15037.014780864169
2009-01-02 10:00:00,25,62674,10,2,1,4,0,57640.0,48735.0,36612.0,63679.0,,,24.0,28.0,56349.666666666664,43651.666666666664,46033.083333333336,14987.17644294228
2009-01-02 11:00:00,27,64199,11,2,1,4,0,62674.0,57640.0,48735.0,65123.0,,,25.0,30.0,61504.333333333336,49913.833333333336,45994.583333333336,14937.108101220136
2009-01-02 12:00:00,28,63426,12,2,1,4,0,64199.0,62674.0,57640.0,65142.0,,,27.0,30.0,63433.0,55547.666666666664,45923.083333333336,14845.294367654647
2009-01-02 13:00:00,29,62501,13,2,1,4,0,63426.0,64199.0,62674.0,64745.0,,,28.0,30.0,63375.333333333336,59862.5,45829.583333333336,14728.199145846382
2009-01-02 14:00:00,29,63652,14,2,1,4,0,62501.0,63426.0,64199.0,64783.0,,,29.0,28.0,63193.0,62348.666666666664,45782.458333333336,14666.598826197678
2009-01-02 15:00:00,28,63210,15,2,1,4,0,63652.0,62501.0,63426.0,64607.0,,,29.0,29.0,63121.0,63277.0,45724.25,14591.218783465501
2009-01-02 16:00:00,28,62199,16,2,1,4,0,63210.0,63652.0,62501.0,61089.0,,,28.0,29.0,63020.333333333336,63197.833333333336,45770.5,14643.702929186347
2009-01-02 17:00:00,28,54278,17,2,1,4,0,62199.0,63210.0,63652.0,52406.0,,,28.0,29.0,59895.666666666664,61544.333333333336,45848.5,14685.509711217408
2009-01-02 18:00:00,27,50700,18,2,1,4,0,54278.0,62199.0,63210.0,50328.0,,,28.0,28.0,55725.666666666664,59423.333333333336,45864.0,14690.638637078286
2009-01-02 19:00:00,27,52979,19,2,1,4,0,50700.0,54278.0,62199.0,52425.0,,,27.0,27.0,52652.333333333336,57836.333333333336,45887.083333333336,14701.827123706846
