iter	RMSE
0	13599.88559
1	12968.7329
2	12367.82045
3	11792.75529
4	11263.58885
5	10736.41444
6	10237.00945
7	9775.65988
8	9326.037454
9	8898.394454
10	8496.932657
11	8121.01295
12	7757.626284
13	7414.111992
14	7094.301767
15	6786.399097
16	6495.5614
17	6208.28563
18	5936.915167
19	5684.154778
20	5447.81891
21	5212.014054
22	4997.813887
23	4787.2016
24	4588.796353
25	4399.649039
26	4223.525989
27	4060.566954
28	3900.787015
29	3746.102531
30	3603.611438
31	3467.032765
32	3339.223401
33	3218.786955
34	3097.214988
35	2987.083542
36	2881.555049
37	2787.212013
38	2692.587831
39	2603.255164
40	2519.752605
41	2441.63164
42	2364.178533
43	2294.142528
44	2226.397242
45	2159.405461
46	2097.095485
47	2040.332266
48	1986.855942
49	1934.936494
50	1887.503341
51	1843.718635
52	1800.052788
53	1760.266063
54	1720.542153
55	1685.364141
56	1654.431339
57	1624.493336
58	1596.462034
59	1569.228899
60	1544.535944
61	1521.061641
62	1498.069121
63	1475.954561
64	1455.856606
65	1437.698075
66	1418.337022
67	1401.202524
68	1385.626632
69	1369.425946
70	1355.182188
71	1339.588935
72	1325.31987
73	1312.054229
74	1300.931349
75	1289.988855
76	1277.158112
77	1265.761417
78	1254.450918
79	1244.180654
80	1236.138
81	1228.375169
82	1219.554098
83	1212.256384
84	1203.798156
85	1196.478694
86	1190.757321
87	1181.657342
88	1175.023132
89	1168.064817
90	1160.561287
91	1153.917921
92	1148.947341
93	1142.33115
94	1138.519686
95	1133.041798
96	1127.697502
97	1122.989454
98	1118.225214
99	1114.263913
100	1110.453467
101	1105.979087
102	1102.449582
103	1098.81987
104	1095.750499
105	1092.701202
106	1089.285701
107	1085.026664
108	1080.985295
109	1077.346435
110	1073.450015
111	1069.637766
112	1066.107868
113	1062.604803
114	1060.560854
115	1057.057069
116	1052.591442
117	1049.977116
118	1047.795157
119	1045.330277
120	1042.983527
121	1041.77435
122	1040.082502
123	1038.086174
124	1035.955202
125	1034.009076
126	1030.717786
127	1028.007036
128	1025.821717
129	1023.305143
130	1020.421136
131	1018.01006
132	1015.470573
133	1013.583674
134	1012.276319
135	1011.10683
136	1009.036571
137	1007.32782
138	1006.109719
139	1004.415957
140	1002.453901
141	1000.636181
142	998.4427026
143	996.8574881
144	994.2851073
145	992.3927268
146	990.9363259
147	988.3376486
148	985.3960794
149	983.9025534
150	982.6927166
151	981.0763634
152	979.520074
153	978.0893208
154	976.4046963
155	974.1739261
156	972.2214449
157	969.9190879
158	967.6734103
159	966.5753033
160	963.9612221
161	961.3148344
162	958.8584462
163	957.4304602
164	955.5949564
165	953.4709198
166	952.3395818
167	950.6866388
168	949.1539984
169	947.1877592
170	945.1116434
171	942.9590577
172	941.5019967
173	940.2365656
174	938.4449178
175	937.0340819
176	935.970565
177	934.486647
178	933.279589
179	931.9635816
180	931.0669631
181	929.7656766
182	928.6198735
183	927.2038936
184	924.9484243
185	922.8801143
186	921.2005831
187	919.9874718
188	917.4045396
189	915.6432915
190	913.6178706
191	911.7034358
192	910.2554271
193	908.8857617
194	907.399067
195	906.146399
