iter	Passed	Remaining
0	159	127057
1	162	64941
2	169	45085
3	176	35152
4	184	29268
5	191	25350
6	198	22482
7	206	20398
8	212	18706
9	219	17353
10	226	16250
11	233	15327
12	240	14549
13	247	13884
14	254	13329
15	261	12823
16	269	12426
17	277	12037
18	283	11670
19	292	11395
20	299	11112
21	307	10872
22	314	10634
23	323	10448
24	330	10246
25	337	10049
26	344	9860
27	351	9682
28	358	9518
29	365	9373
30	372	9231
31	378	9093
32	386	8971
33	393	8857
34	400	8755
35	408	8666
36	415	8563
37	422	8472
38	429	8376
39	436	8287
40	443	8201
41	450	8129
42	457	8045
43	463	7971
44	470	7900
45	477	7828
46	484	7763
47	491	7702
48	498	7646
49	505	7584
50	513	7536
51	520	7481
52	527	7430
53	535	7396
54	542	7350
55	551	7322
56	561	7323
57	569	7284
58	576	7237
59	584	7211
60	591	7163
61	599	7133
62	606	7090
63	613	7059
64	620	7019
65	628	6984
66	635	6949
67	642	6913
68	650	6889
69	657	6853
70	664	6823
71	673	6807
72	680	6777
73	687	6746
74	694	6716
75	702	6689
76	709	6660
77	716	6632
78	723	6601
79	730	6574
80	737	6544
81	744	6517
82	751	6489
83	758	6464
84	765	6438
85	772	6412
86	779	6387
87	786	6363
88	794	6346
89	801	6320
90	808	6298
91	815	6273
92	822	6250
93	829	6229
94	836	6209
95	844	6190
96	851	6170
97	858	6149
98	865	6128
99	872	6110
100	880	6091
101	887	6073
102	894	6055
103	902	6037
104	909	6018
105	916	6001
106	923	5982
107	931	5970
108	939	5958
109	949	5956
110	959	5954
111	968	5950
112	977	5943
113	988	5950
114	1000	5956
115	1007	5943
116	1015	5928
117	1023	5916
118	1030	5898
119	1037	5880
120	1049	5890
121	1058	5883
122	1066	5867
123	1076	5867
124	1086	5864
125	1094	5855
126	1104	5851
127	1111	5836
128	1120	5828
129	1128	5815
130	1136	5805
131	1144	5789
132	1153	5783
133	1160	5767
134	1169	5760
135	1176	5746
136	1186	5739
137	1193	5723
138	1202	5718
139	1209	5703
140	1218	5695
141	1226	5681
142	1235	5674
143	1242	5660
144	1252	5658
145	1260	5645
146	1269	5639
147	1277	5626
148	1285	5616
149	1292	5600
150	1300	5589
151	1307	5574
152	1316	5566
153	1323	5551
154	1331	5541
155	1338	5526
156	1346	5515
157	1353	5499
158	1361	5489
159	1368	5475
160	1375	5460
161	1384	5451
162	1391	5437
163	1399	5427
164	1405	5410
165	1413	5400
166	1421	5387
167	1429	5377
168	1436	5362
169	1444	5353
170	1451	5339
171	1460	5330
172	1467	5317
173	1475	5308
174	1482	5295
175	1490	5284
176	1498	5272
177	1505	5259
178	1513	5249
179	1519	5234
180	1527	5224
181	1534	5209
182	1542	5202
183	1551	5192
184	1561	5189
185	1568	5179
186	1578	5172
187	1585	5161
188	1594	5155
189	1602	5144
190	1614	5146
191	1623	5141
192	1631	5130
193	1639	5120
194	1647	5112
195	1656	5104
196	1663	5092
197	1673	5087
198	1680	5075
199	1688	5065
200	1696	5055
201	1705	5048
202	1713	5040
203	1723	5035
204	1730	5024
205	1740	5018
206	1748	5009
207	1758	5005
208	1767	4996
209	1775	4988
210	1783	4979
211	1791	4970
212	1799	4960
213	1808	4951
214	1814	4938
215	1823	4929
216	1831	4920
217	1839	4911
218	1846	4898
219	1853	4885
220	1860	4873
221	1866	4860
222	1874	4850
223	1883	4843
224	1891	4833
225	1899	4824
226	1907	4814
227	1915	4805
228	1923	4797
